0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:19:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7518
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:19:43 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7510
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:20:28 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7534
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:20:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:20:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:21:07 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7556
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:21:54 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:22:49 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:24:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:25:27 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7630
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:33:27 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:34:07 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:34:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:34:59 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7827
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:35:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:35:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7824
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:36:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:37:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7853
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:37:49 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:38:01 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7867
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:38:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:39:24 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:40:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7889
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:40:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7894
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:41:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7903
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:41:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7907
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:41:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7912
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:43:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7892
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:48:34 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7923
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:48:51 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7907
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:49:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:50:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8352
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:51:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8385
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:52:55 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8383
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:53:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:53:23 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:58:07 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8594
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:58:41 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8621
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:58:57 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8621
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:00:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8685
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:00:54 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:01:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8724
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:01:51 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8746
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:02:00 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8744
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:02:07 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8744
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:02:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8748
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:03:17 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8769
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:03:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8769
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:04:11 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8787
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:04:23 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:05:45 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8799
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:06:01 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8787
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:06:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8759
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:07:20 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8777
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:07:28 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 8777
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:12:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 9319
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:12:49 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 9319
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:13:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [16/Jan/2021:15:14:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 9343
